21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
42.35,80.17,46.56,85.15,67.14,85.55,79.82,89.46,100.44,103.18,80.65,159.13
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,46.5,73.88,48.7,84.77
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
52.78,91.81,94.64,94.68,53.49,50.31,42.35,42.35,42.35,42.35,42.35,42.35
259.37,234.59,185.95,225.2,218.8,250.25,211.12,215.94,233.23,230.83,205.06,205.74
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
95.34,158.63,186.05,195.89,186.04,115.5,71.78,79.42,71.64,69.58,81.13,164.17
42.35,42.35,42.35,42.35,42.35,49.71,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,45.84,54.58,54.18,42.78
42.35,42.35,99.09,110.91,147.31,194.74,103.24,131.1,126.44,98.72,75.98,120.7
42.35,42.35,47.46,71.92,121.18,125.39,117.72,132.62,146.96,138.96,125.58,62.17
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,51.01,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,65.4,42.35,42.35,57.45,42.35,47.38,48.17,42.35,51,42.35,42.35
62.13,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,56.48,104.18,83.93,61.29,54.57,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,52.46,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,44.81,42.35,42.35,43.34,45.74,42.35
42.35,42.35,42.35,42.35,42.35,63.71,67.43,73.85,51.49,50.93,53.12,42.35
42.35,88.74,45.17,42.35,42.35,42.35,50.75,59.67,55.48,71.72,56.26,67.03
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,86.05,42.35,42.35,42.35,42.35,54.64,59.67,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,65.49,86.56,88.07,98.75,67.9,61.05,46.71
42.35,42.35,42.35,42.35,42.35,42.35,67.5,84.12,91.76,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.6,42.35,42.35,42.35,46.85,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,45.82,76.88
42.35,42.35,42.35,42.35,42.35,42.35,46.82,51.36,47.08,51.01,57.6,119.57
42.35,42.35,42.35,80.44,42.35,76.85,100.22,84.11,76.78,50.42,42.35,46.71
42.35,42.35,42.35,75.08,70.38,42.35,84.39,98.45,79.07,76.98,124.68,69.88
42.35,42.35,42.35,42.35,42.35,42.35,77.8,89.18,101.17,107.33,126.23,122.19
42.35,42.35,42.35,42.35,42.35,42.35,49.66,57.2,42.35,51,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.75,44.26,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,56.09,68.27,68.72,68.74,126.88,159.5
